26	26	29	23	33	31	16	28	46	99	84	112	154	183	205	228	182	161	112	180
17	0	0	0	10	23	0	0	0	0	0	0	0	0	0	0	0	0	0	114
23	0	0	0	15	32	0	0	0	0	0	0	0	0	0	0	0	0	0	140
25	0	0	0	11	36	0	0	0	3	1	0	0	0	0	2	0	0	0	169
39	0	0	0	26	47	0	0	0	92	57	2	0	0	119	118	1	0	0	240
35	0	0	0	27	46	0	0	0	92	105	0	0	0	169	157	0	0	0	166
44	0	0	0	0	0	0	0	1	66	83	1	0	0	117	119	0	0	0	161
40	0	0	0	0	0	0	1	0	68	98	0	1	0	111	125	0	0	0	156
37	0	0	0	0	0	0	0	0	64	97	0	0	0	113	140	0	0	0	143
58	61	59	89	87	98	91	82	51	98	120	1	0	0	156	151	0	0	0	154
86	35	72	76	112	96	93	59	48	134	113	1	0	0	136	157	0	0	0	174
75	0	0	0	0	0	0	0	0	78	118	0	0	0	138	133	0	0	0	160
101	0	0	0	0	0	0	0	0	74	119	0	0	0	185	88	0	0	0	138
113	0	0	0	0	0	0	0	0	90	119	0	0	0	159	89	0	0	0	125
150	0	0	0	0	0	0	0	0	172	172	0	0	0	146	185	49	1	38	135
139	0	0	0	0	0	0	0	1	102	97	0	0	0	113	92	94	166	115	46
136	0	0	0	0	0	0	0	0	2	2	0	0	0	76	78	0	0	0	0
130	0	0	0	0	0	0	0	0	0	0	0	0	0	34	119	0	0	0	0
102	0	0	0	0	0	0	0	0	0	0	0	0	0	24	80	0	0	0	0
147	98	133	124	138	137	121	117	150	197	202	184	169	117	113	79	4	0	0	1
